Day,Exercise,Repetitions,Sets,Description,Image
Monday,Push-Up,8–12,3,"Control tempo, focus on form",https://training.fit/exercise/push-ups/
Monday,Chest flies,8–12,3,"Seated, light weight",https://training.fit/wp-content/uploads/2019/02/fliegende-flachbank-kurzhanteln-1.png
Monday,Dumbbell Chest Press,12-15 reps,3,Endurance focus,https://training.fit/wp-content/uploads/2020/02/bankdruecken-kurzhantel-negativ.png
Monday,Bent over single arm tricep extensions,12–15 each ,2,"Light, controlled, use bench",https://training.fit/wp-content/uploads/2020/02/rudern-kurzhantel.png
Wednesday,Bent over rows,10–12,3,Neutral grip,https://liftmanual.com/wp-content/uploads/2023/04/dumbbell-bent-over-row.jpg
Wednesday,Single arm banded pull down,12-15 reps,3,Controlled lowering phase,https://www.fitsimplify.com/wp-content/uploads/2018/05/Straight-arm-Pulldown-533x400.png
Wednesday,Dumbbell Deadlift / Hinge Intro,10,3,"Light DBs, hip hinge focus",https://cdn.shopify.com/s/files/1/1497/9682/files/4_4c053fcc-56ec-4be6-9066-cae8ebf856e4.jpg?v=1666357456
Wednesday,Banded Face Pulls,15,2,Posture focus. EG https://www.youtube.com/watch?v=HHZ1_OZKLII,https://liftmanual.com/wp-content/uploads/2023/04/band-face-pull.jpg
Friday,Bodyweight Squat,12–15,3,Slow tempo,https://training.fit/wp-content/uploads/2020/03/kniebeugen.png
Friday,Romanian deadlift,10–12,2,Light–moderate load,https://training.fit/wp-content/uploads/2020/03/kreuzheben-gestreckte-beine-kurzhantel.png
Friday,Glute Bridge,12–15,3,Squeeze glutes,https://www.gofitnessplan.com/images/exercises/mixed/glutes-bridge.jpg
Friday,Calf Raises,15,3,Full range,https://trainingstation.co.uk/cdn/shop/articles/standing-calf-raises_eaa81211-4f0c-41bd-8e60-09268e568799_2500x.png?v=1751029336